x,y,ux,uy
7.690340909,2.315340909,0.003009227623,-0.01045897627
8,2.625,0.002695933442,-0.01046964381
7.071022727,1.696022727,0.003058436708,-0.00901499125
7.380681818,2.005681818,0.00314852461,-0.009961767986
7.071022727,2.071022727,0.002745597816,-0.01012023165
8,1.875,0.003973714833,-0.00921181622
7.690340909,1.940340909,0.003561846665,-0.00969016323
7.690340909,1.565340909,0.003989408958,-0.008616215898
3.082291667,4.582291667,-0.01252392519,-0.02661766192
3.582291667,4.082291667,-0.009697713467,-0.02304528498
3.5,4.5,-0.01211968314,-0.02390660889
3.746875,3.246875,-0.004942499233,-0.02031416219
3.664583333,3.664583333,-0.007250708109,-0.02185871822
3.246875,3.746875,-0.008153050822,-0.02435960269
4.5,3.5,-0.005752603768,-0.01606581424
4.082291667,3.582291667,-0.006430797879,-0.01906902075
4.582291667,3.082291667,-0.002876163569,-0.01522490509
3.969381338,0.4268728874,0.0005383011645,-0.00350988044
3.469381338,0.6055435254,0.0002928337396,-0.005257799247
3.5,0.178670638,0.0001749746562,-0.001593061129
3.408144013,1.4592893,-0.0004583057064,-0.01196533285
3.438762676,1.032416413,6.250418101e-05,-0.008719619866
3.908144013,1.280618662,0.0004934287115,-0.009791043872
2.5,0.5360119139,-0.0006182398753,-0.005223176432
2.969381338,0.7842141633,-0.000345082058,-0.007177164997
2.469381338,0.9628848013,-0.00141864402,-0.009248154786
5,0,0,0
5.5,0.1875,0.0004346458648,-0.001311706901
4.5,0.1875,0.000365741083,-0.00146945495
7.5,0.1875,0.001005671693,-0.00123190179
6.5,0.1875,0.0005566004837,-0.001225903816
7,0,0,0
5.5,0.5625,0.001119551761,-0.003725648374
6,0.375,0.0008983831586,-0.002459170433
6.5,0.5625,0.001500124282,-0.003527053266
7.625,3,0.002120199121,-0.0111147723
7.315340909,2.690340909,0.002290776748,-0.01115102553
6.565340909,2.690340909,0.0016730051,-0.0111646079
6.940340909,2.690340909,0.002024853319,-0.01119505949
6.875,3,0.001840666756,-0.0114058717
7.005681818,2.380681818,0.00235948262,-0.01076779981
6.696022727,2.071022727,0.002348318411,-0.01005165468
0.5107621444,1.5625,-0.009258076009,-0.01814309834
0.3405080963,1.25,-0.009099344953,-0.01547390185
0.5107621444,0.9375,-0.007096537056,-0.01154756857
0,1.875,-0.01173117994,-0.02186184982
0.1702540481,1.5625,-0.01060224404,-0.01891943089
0.1702540481,2.1875,-0.01153083957,-0.02405961733
0.1702540481,0.3125,-0.004159349557,-0.004680219634
0.1702540481,0.9375,-0.008700599673,-0.01269949971
0,0.625,-0.007860031127,-0.01001808886
7.690340909,1.190340909,0.004120115003,-0.00720993553
8,1.125,0.00462537224,-0.007048426543
7.071022727,1.321022727,0.003133833852,-0.00754943058
7.380681818,1.255681818,0.003601995598,-0.007369539462
8,0.375,0.003140453811,-0.003549995304
7.690340909,0.8153409091,0.003755394876,-0.005406172584
7.690340909,0.4403409091,0.002609939652,-0.003109489822
